d3_id,shortname,name,average_annual_premium,state_min_bi,state_min_per_accident,state_min_pd
1,AK,Alabama,1583,50000,100000,25000
2,AL,Alaska,1243,25000,50000,25000
4,AR,Arizona,1455,25000,50000,25000
5,AZ,Arkansas,1222,15000,30000,10000
6,CA,California,2128,15000,30000,5000
8,CO,Colorado,1210,25000,50000,15000
9,CT,Connecticut,1927,20000,40000,10000
10,DC,Delaware,1783,25000,50000,10000
11,DE,District of Columbia,2689,15000,30000,10000
12,FL,Florida,2260,10000,20000,10000
13,GA,Georgia,1481,25000,50000,25000
15,HI,Hawaii,1114,20000,40000,10000
16,IA,Idaho,999,20000,40000,15000
17,ID,Illinois,1031,25000,50000,15000
18,IL,Indiana,1246,20000,40000,15000
19,IN,Iowa,1327,25000,50000,10000
20,KS,Kansas,1270,25000,50000,10000
21,KY,Kentucky,1753,25000,50000,10000
22,LA,Louisiana,2026,15000,30000,25000
23,MA,Maine,1573,20000,40000,5000
24,MD,Maryland,1716,20000,40000,15000
25,ME,Massachusetts,1062,50000,100000,25000
26,MI,Michigan,4054,20000,40000,10000
27,MN,Minnesota,1516,30000,60000,10000
28,MO,Mississippi,1189,25000,50000,10000
29,MS,Missouri,1734,25000,50000,25000
30,MT,Montana,1131,25000,50000,10000
31,NC,Nebraska,874,30000,60000,25000
32,ND,Nevada,1211,25000,50000,25000
33,NE,New Hampshire,1111,25000,50000,25000
34,NH,New Jersey,1226,25000,50000,25000
35,NJ,New Mexico,2158,15000,30000,5000
36,NM,New York,1620,25000,50000,10000
37,NV,North Carolina,1753,15000,30000,10000
38,NY,North Dakota,2093,25000,50000,10000
39,OH,Ohio,1141,12500,25000,7500
40,OK,Oklahoma,2140,25000,50000,25000
41,OR,Oregon,1692,25000,50000,20000
42,PA,Pennsylvania,1661,15000,30000,5000
44,RI,Rhode Island,2295,25000,50000,25000
45,SC,South Carolina,1344,25000,50000,25000
46,SD,South Dakota,1064,25000,50000,25000
47,TN,Tennessee,1401,25000,50000,15000
48,TX,Texas,1706,30000,60000,25000
49,UT,Utah,1121,25000,65000,15000
50,VA,Vermont,1050,25000,50000,20000
51,VT,Virginia,1022,25000,50000,10000
53,WA,Washington,1339,25000,50000,10000
54,WI,West Virginia,1302,25000,50000,10000
55,WV,Wisconsin,1377,20000,40000,10000
56,WY,Wyoming,1442,25000,50000,20000
