d3_id,shortname,name,average_annual_premium,state_min_bi,state_min_per_accident,state_min_pd,quote,quote_name,quote_title,department,,,,,,
1,AK,Alabama,1583,50000,100000,25000,The key to comparison shopping is to know what insurance coverages you need before you start and then to find out how much those coverages will cost from a number of companies. Comparison shopping takes time but will save you money.,,,Alabama Department of Insurance,,,,,,
2,AL,Alaska,1243,25000,50000,25000,Always to shop their insurance and compare the terms and conditions including the premium. Alaska has numerous insurance companies offering personal lines auto insurance and a consumer should be able to secure a policy.,Lori K. Wing-Heier,Director,Alask Division of Insurance,,,,,,
4,AR,Arizona,1455,25000,50000,25000,"For consumers looking to purchase auto insurance in Arizona, the two most important things are to shop around and understand what you are buying before you buy it. What one insurer offers to cover may not be covered by a different insurer.",Germaine L. Marks,Director,Arizona Department of Insurance,,,,,,
5,AZ,Arkansas,1222,15000,30000,10000,Auto insurance needs are unique to a person's life situation and may change over time. One of the best things to do before comparison shopping is to brush up on the coverages found in auto insurance policies.,,,Arkansas Insurance Department,,,,,,
6,CA,California,2128,15000,30000,5000,"Ask about multi-car discounts, for insuring several cars. Ask about mature driver and good driver discounts. Ask about discounts for airbags, anti-theft devices, or other features.",,,California Department of Insurance,,,,,,
8,CO,Colorado,1210,25000,50000,15000,"Consider your coverage: Eliminating or lowering your physical damage coverage on older vehicles mayl ower your premium. If you have a loan on the car, your lender will require you maintain certain levels of physical damage coverage.",,,Colorado Division of Insurance,,,,,,
9,CT,Connecticut,1927,20000,40000,10000,"What should matter most to drivers in the Connecticut is finding the right coverage, including deductibles, at the right price from a company that has a track record for good claims services.",Donna Tommelleo,,Connecticut Insurance Department,,,,,,
10,DC,Delaware,1783,25000,50000,10000,The DOI recommends purchasing as much car insurance coverage as you can reasonably afford; the minimum amount of insurance required by law may not be enough to suit your needs.,Jerry Grant,,Delaware Department of Insurance,,,,,,
11,DE,District of Columbia,2689,15000,30000,10000,"Thanks for contacting the D.C. Department of Insurance, Securities and Banking. On behalf of the department in response to your question, cost and claims handling are two areas a District of Columbia resident should look at when shopping for auto insurance.",Kate Hartig,,District of Columbia Department of Insurance,,,,,,
12,FL,Florida,2260,10000,20000,10000,A prime consideration for all drivers is understanding what type and amount of coverage is required by law and then speaking with a licensed insurance agent or insurance company to ensure the proper amount of coverage is secured for the individual’s own personal situation.,Kevin McCarty ,Commissioner,Florida Office of Insurance Regulation,,,,,,
13,GA,Georgia,1481,25000,50000,25000,"Although Georgia requires all drivers to have “liability insurance” to drive, there are unfortunately those that either do not obey the law or may have unknowingly allowed their insurance to cancel. Uninsured Motorist would protect you when that other “uninsured” driver causes an accident.",,,Georgia Department of Insurance,,,,,,
15,HI,Hawaii,1114,20000,40000,10000,"In Hawaii, auto insurance coverage is mandatory, with three requirements for policyholders: Bodily Injury Liability (BI), Property Damage Liability (PD), and Personal Injury Protection (PIP)",Christine Hirasa,,Department of Commerce and Consumer Affairs,,,,,,
16,IA,Idaho,999,20000,40000,15000,"To avoid misquotes, provide accurate information about your driving record and any other facts affecting the cost of insurance, such as the make of your car or how far you commute to work. Verify all information before signing the application.",,,Idaho Department of Insurance,,,,,,
17,ID,Illinois,1031,25000,50000,15000,Find a reliable company. Contact the Department of Insurance to find out if a company is licensed in Illinois. Unlicensed companies are not required to comply with state insurance laws or participate in the Insurance Guaranty Fund which protects policyholders if a company goes bankrupt.,,,Illinois Department of Insurance,,,,,,
18,IL,Indiana,1246,20000,40000,15000,"For some drivers, an insurance company’s reputation and customer service are more important than a lower price. Each driver should consider their own circumstances and use available resources in order to make the right decision for their unique personal situation.",Jenifer Groth,,Indiana Department of Insurance,,,,,,
19,IN,Iowa,1327,25000,50000,10000,Insurance needs vary for each individual and it's important for Iowans to talk with a licensed insurance agent to fully understand what their true risks are. A licensed insurance agent can help make sure they are adequately protected and have the right coverage for their personal situation.,Nick Gerhart,Commissioner,Iowa Insurance Division,,,,,,
20,KS,Kansas,1270,25000,50000,10000,"No-fault insurance, also known as Personal Injury Protection (PIP) coverage, is required by Kansas law, and provides payment for accident-related medical treatment for you, your passengers, or other parties injured in an accident.",,,Kansas Insurance Department,,,,,,
21,KY,Kentucky,1753,25000,50000,10000,"We think the coverages in the policy, and a clear understanding of each, should be the most important. We encourage consumers to talk to their agents to be sure they purchase a policy that best fits their needs.",Ronda Sloan,,Kentucky Department of Insurance,,,,,,
